PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,23.97393,25.28435,,22.53352,25.13942,22.2902,15.80273,20.70898,24.07226,20.32256,21.78029,22.45803,22.914,25.73562,24.98483,23.78491,24.85699,28.28348,29.84284,28.98195,28.83552,28.54758,27.80449,25.87605,14.71887
02.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,12.01583,0.89429,,23.58574,23.55238,24.83727,24.44811,29.20787,27.97337,27.76782,29.44063,30.62213,30.5401,30.65375,30.15082,29.59089,28.90022,29.97898,43.73317,35.08854,36.77761,33.95132,32.24191,31.78997,29.58053
03.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.15422,29.65202,,29.47311,29.29297,28.52551,28.28078,30.36571,31.16594,31.46058,31.93564,34.62596,35.55678,37.04202,34.78784,32.04068,25.63452,32.08906,45.35466,38.89639,34.05826,34.63391,34.4672,32.79117,30.90704
04.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,30.93022,31.82449,,31.42566,29.97634,30.15255,30.65265,35.82281,38.3999,33.75338,43.21435,42.8462,40.05986,31.8073,32.04643,29.97689,31.42483,29.7628,54.07455,37.14748,36.39154,32.80581,30.83659,28.45792,28.07623
05.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,27.54551,28.35224,,28.18482,28.74229,28.57645,29.09074,33.35596,33.99268,33.82346,32.86154,31.33023,30.13657,29.70623,29.45373,29.27785,27.89176,30.09567,31.92451,33.47487,34.14598,32.4955,30.04835,26.91306,27.12975
06.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.10331,27.50411,,28.52307,27.59598,28.54697,29.2501,34.92082,31.64218,30.79913,29.76339,29.80071,29.38188,29.1244,28.90839,27.77214,27.76873,28.64428,35.3987,28.60476,28.61741,29.14261,28.37892,25.81099,26.47972
07.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.42726,27.07484,,24.90477,26.23519,26.47663,26.85822,27.05209,27.21198,27.85738,28.23066,28.30686,27.612,26.95841,26.03808,23.70214,23.95089,26.33187,31.97601,30.33234,29.07641,28.41282,27.90553,27.24853,26.46401
08.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.84305,25.86105,,24.83596,25.16637,26.24159,26.35928,26.51536,27.32849,28.43798,28.29528,28.0248,27.44905,27.48304,27.3978,27.1487,27.32581,28.52303,43.84547,32.46474,32.18895,31.83319,29.81135,28.77726,28.00953
09.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.05769,29.15885,,28.32031,28.36772,29.66028,41.67923,38.50738,81.79371,37.03805,40.31267,97.44,33.44454,32.39353,31.8582,31.04328,30.63243,31.58789,38.54933,38.15756,35.19719,34.69411,31.28299,29.79296,27.5492
10.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,27.16945,27.51756,,27.64214,28.01758,27.78555,30.14708,75.35007,38.51075,33.56519,32.70346,30.75237,30.21897,29.49352,29.17592,28.36688,28.05191,30.62499,41.72119,35.13699,39.26045,35.38913,31.54563,28.71654,27.85017
